purchase_id,sales_person_id,country_id,product_id,purchase_date,amount,boxes_shipped
P000000001,1,1,15,2022-04-01,5320,180
P000000002,2,2,3,2022-01-08,7896,94
P000000003,3,2,18,2022-07-07,4501,91
P000000004,4,3,18,2022-04-27,12726,342
P000000005,1,1,18,2022-02-24,13685,184
P000000006,2,2,20,2022-06-06,5376,38
P000000007,5,1,4,2022-01-25,13685,176
P000000008,6,3,5,2022-03-24,3080,73
P000000009,1,4,1,2022-04-20,3990,59
P000000010,7,3,4,2022-04-07,2835,102
P000000011,8,1,20,2022-01-13,4704,62
P000000012,9,5,16,2022-10-03,3703,11
P000000013,10,6,11,2022-01-13,1442,286
P000000014,11,4,10,2022-07-28,168,156
P000000015,12,4,18,2022-03-08,8379,173
P000000016,13,3,17,2022-01-26,6790,356
P000000017,2,6,17,2022-02-14,4067,42
P000000018,14,5,20,2022-05-04,3017,140
P000000019,13,6,14,2022-02-16,8799,250
P000000020,15,1,3,2022-08-06,1085,172
P000000021,7,3,11,2022-06-27,6888,88
P000000022,6,5,21,2022-02-17,1267,157
P000000023,12,5,5,2022-05-30,4753,163
P000000024,16,1,10,2022-03-14,3003,113
P000000025,17,3,11,2022-02-28,7672,115
P000000026,11,2,12,2022-01-26,168,321
P000000027,14,6,21,2022-09-02,1652,186
P000000028,16,5,11,2022-07-07,4025,112
P000000029,18,4,22,2022-05-07,9492,151
P000000030,18,4,13,2022-06-15,5061,301
P000000031,2,4,3,2022-05-24,1722,121
P000000032,8,1,4,2022-06-29,12446,150
P000000033,19,3,13,2022-11-05,4284,94
P000000034,11,1,6,2022-06-30,6839,133
P000000035,20,6,5,2022-11-05,2163,70
P000000036,14,5,13,2022-07-22,9583,315
P000000037,20,1,1,2022-08-24,2653,314
P000000038,21,4,5,2022-07-07,147,72
P000000039,22,3,3,2022-05-19,3654,14
P000000040,11,2,13,2022-04-07,2443,581
P000000041,21,5,5,2022-02-06,938,16
P000000042,11,5,19,2022-04-15,14749,354
P000000043,10,6,9,2022-11-07,4781,241
P000000044,20,2,21,2022-02-23,6307,142
P000000045,23,6,6,2022-08-22,7602,102
P000000046,17,5,18,2022-02-16,6790,188
P000000047,2,5,1,2022-01-13,9737,160
P000000048,15,3,14,2022-02-14,6979,18
P000000049,14,2,11,2022-10-06,4382,303
P000000050,15,2,12,2022-07-07,5243,176
P000000051,15,6,6,2022-03-24,4865,70
P000000052,7,3,12,2022-06-06,8575,23
P000000053,24,3,10,2022-07-19,91,135
P000000054,13,5,19,2022-04-19,14798,83
P000000055,12,2,3,2022-07-19,2205,179
P000000056,1,6,10,2022-07-15,441,24
P000000057,25,4,21,2022-02-14,3556,18
P000000058,7,6,4,2022-05-18,16793,416
P000000059,9,3,12,2022-06-30,15421,55
P000000060,20,3,1,2022-02-06,4438,227
P000000061,20,3,10,2022-06-28,1603,48
P000000062,12,3,17,2022-05-16,273,174
P000000063,21,6,7,2022-05-26,3073,302
P000000064,11,2,6,2022-06-07,6090,149
P000000065,5,2,4,2022-05-27,10255,11
P000000066,19,3,8,2022-04-14,2030,11
P000000067,2,3,17,2022-10-08,19453,14
P000000068,22,2,1,2022-04-07,9275,411
P000000069,5,2,17,2022-08-07,6181,56
P000000070,4,5,18,2022-07-22,9037,102
P000000071,3,5,9,2022-02-03,12313,103
P000000072,3,1,6,2022-10-01,5642,9
P000000073,1,4,22,2022-11-03,2800,241
P000000074,20,4,18,2022-06-20,959,265
P000000075,2,1,17,2022-08-26,2002,214
P000000076,14,6,14,2022-07-13,609,32
P000000077,22,5,21,2022-11-02,1274,244
P000000078,12,5,16,2022-01-27,7595,181
P000000079,2,1,4,2022-01-31,4725,137
P000000080,22,5,22,2022-08-18,9681,24
P000000081,20,5,19,2022-06-30,14504,21
P000000082,24,3,12,2022-08-23,280,311
P000000083,7,4,15,2022-01-08,63,181
P000000084,14,4,5,2022-05-25,8001,10
P000000085,14,6,17,2022-10-01,4032,82
P000000086,18,3,2,2022-07-02,5859,108
P000000087,11,5,16,2022-12-05,11095,401
P000000088,23,3,21,2022-07-03,7182,408
P000000089,18,3,3,2022-05-04,6881,420
P000000090,20,6,8,2022-03-01,7154,348
P000000091,18,1,11,2022-03-24,6188,270
P000000092,23,2,19,2022-07-07,4221,9
P000000093,2,5,5,2022-07-26,630,264
P000000094,19,3,17,2022-07-07,1743,111
